"version_full";"description";"date (yyyy-mm-dd)"
"10.0.1600.22";"SQL Server 2008 RTM";"2008-08-07"
"10.0.1750.0";"FIX: A MERGE statement may not enforce a foreign key constraint when the statement updates a unique key column that is not part of a clustering key that has a single row as the update source in SQL Server 2008";"2008-08-25"
"10.0.1763.0";"Cumulative update package 1 (CU1) for SQL Server 2008";"2008-10-28"
"10.0.1771.0";"FIX: You may receive incorrect results when you run a query that references three or more tables in the FROM clause in SQL Server 2008";"2008-10-29"
"10.0.1779.0";"Cumulative update package 2 (CU2) for SQL Server 2008";"2008-11-19"
"10.0.1787.0";"Cumulative update package 3 (CU3) for SQL Server 2008";"2009-01-19"
"10.0.1798.0";"Cumulative update package 4 (CU4) for SQL Server 2008";"2009-03-17"
"10.0.1806.0";"Cumulative update package 5 (CU5) for SQL Server 2008";"2009-05-18"
"10.0.1812.0";"Cumulative update package 6 (CU6) for SQL Server 2008";"2009-07-21"
"10.0.1818.0";"Cumulative update package 7 (CU7) for SQL Server 2008";"2009-09-21"
"10.0.1823.0";"Cumulative update package 8 (CU8) for SQL Server 2008";"2009-11-16"
"10.0.1828.0";"Cumulative update package 9 (CU9) for SQL Server 2008";"2010-01-18"
"10.0.1835.0";"Cumulative update package 10 (CU10) for SQL Server 2008";"2010-03-15"
"10.0.2520.0";"SQL Server 2008 Service Pack 1 - CTP";"2009-02-23"
"10.0.2531.0";"SQL Server 2008 Service Pack 1 (SP1)";"2009-04-07"
"10.0.2573.0";"MS11-049: Description of the security update for SQL Server 2008 Service Pack 1 GDR: June 14, 2011";"2011-06-14"
"10.0.2710.0";"Cumulative update package 1 (CU1) for SQL Server 2008 Service Pack 1";"2009-04-16"
"10.0.2712.0";"FIX: Error message in SQL Server 2008 when you run an INSERT SELECT statement on a table: ""Violation of PRIMARY KEY constraint '<PrimaryKey>'. Cannot insert duplicate key in object '<TableName>'""";"2009-07-21"
"10.0.2714.0";"Cumulative update package 2 (CU2) for SQL Server 2008 Service Pack 1";"2009-05-18"
"10.0.2723.0";"Cumulative update package 3 (CU3) for SQL Server 2008 Service Pack 1";"2009-07-21"
"10.0.2734.0";"Cumulative update package 4 (CU4) for SQL Server 2008 Service Pack 1";"2009-09-22"
"10.0.2740.0";"FIX: Error message when you perform a rolling upgrade in a SQL Server 2008 cluster : ""18401, Login failed for user SQLTEST\AgentService. Reason: Server is in script upgrade mode. Only administrator can connect at this time.[SQLState 42000]""";"2009-11-24"
"10.0.2746.0";"Cumulative update package 5 (CU5) for SQL Server 2008 Service Pack 1";"2009-11-16"
"10.0.2757.0";"Cumulative update package 6 (CU6) for SQL Server 2008 Service Pack 1";"2010-01-18"
"10.0.2766.0";"Cumulative update package 7 (CU7) for SQL Server 2008 Service Pack 1";"2010-03-26"
"10.0.2775.0";"Cumulative update package 8 (CU8) for SQL Server 2008 Service Pack 1";"2010-05-17"
"10.0.2787.0";"FIX: The Reporting Services service stops unexpectedly after you apply SQL Server 2008 SP1 CU 7 or CU8";"2010-07-30"
"10.0.2789.0";"Cumulative update package 9 (CU9) for SQL Server 2008 Service Pack 1";"2010-07-21"
"10.0.2799.0";"Cumulative update package 10 (CU10) for SQL Server 2008 Service Pack 1";"2010-09-21"
"10.0.2804.0";"Cumulative update package 11 (CU11) for SQL Server 2008 Service Pack 1";"2010-11-15"
"10.0.2808.0";"Cumulative update package 12 (CU12) for SQL Server 2008 Service Pack 1";"2011-02-10"
"10.0.2816.0";"Cumulative update package 13 (CU13) for SQL Server 2008 Service Pack 1";"2011-03-22"
"10.0.2821.0";"Cumulative update package 14 (CU14) for SQL Server 2008 Service Pack 1";"2011-05-16"
"10.0.2841.0";"MS11-049: Description of the security update for SQL Server 2008 Service Pack 1 QFE: June 14, 2011";"2011-06-14"
"10.0.2847.0";"Cumulative update package 15 (CU15) for SQL Server 2008 Service Pack 1";"2011-07-18"
"10.0.2850.0";"Cumulative update package 16 (CU16) for SQL Server 2008 Service Pack 1";"2011-09-19"
"10.0.3798.0";"SQL Server 2008 Service Pack 2 CTP";"2010-07-07"
"10.0.4000.0";"SQL Server 2008 Service Pack 2 (SP2)";"2010-09-29"
"10.0.4064.0";"MS11-049: Description of the security update for SQL Server 2008 Service Pack 2 GDR: June 14, 2011";"2011-06-14"
"10.0.4067.0";"Microsoft Security Bulletin MS12-070";"2012-10-09"
"10.0.4266.0";"Cumulative update package 1 (CU1) for SQL Server 2008 Service Pack 2";"2010-11-15"
"10.0.4272.0";"Cumulative update package 2 (CU2) for SQL Server 2008 Service Pack 2";"2011-02-10"
"10.0.4279.0";"Cumulative update package 3 (CU3) for SQL Server 2008 Service Pack 2";"2011-03-11"
"10.0.4285.0";"Cumulative update package 4 (CU4) for SQL Server 2008 Service Pack 2";"2011-05-16"
"10.0.4316.0";"Cumulative update package 5 (CU5) for SQL Server 2008 Service Pack 2";"2011-07-18"
"10.0.4321.0";"Cumulative update package 6 (CU6) for SQL Server 2008 Service Pack 2";"2011-09-20"
"10.0.4323.0";"Cumulative update package 7 (CU7) for SQL Server 2008 Service Pack 2";"2011-11-21"
"10.0.4326.0";"Cumulative update package 8 (CU8) for SQL Server 2008 Service Pack 2";"2012-01-30"
"10.0.4330.0";"Cumulative update package 9 (CU9) for SQL Server 2008 Service Pack 2";"2012-03-19"
"10.0.4332.0";"Cumulative update package 10 (CU10) for SQL Server 2008 Service Pack 2";"2012-05-20"
"10.0.4333.0";"Cumulative update package 11 (CU11) for SQL Server 2008 Service Pack 2";"2012-07-16"
"10.0.4371.0";"Microsoft Security Bulletin MS12-070";"2012-10-09"
"10.0.5416.0";"SQL Server 2008 Service Pack 3 CTP";"2011-08-22"
"10.0.5500.0";"SQL Server 2008 Service Pack 3 (SP3)";"2011-10-06"
"10.0.5512.0";"Microsoft Security Bulletin MS12-070";"2012-10-09"
"10.0.5520.0";"MS14-044: Description of the security update for SQL Server 2008 SP3 (GDR)";"2014-08-12"
"10.0.5538.0";"MS15-058: Description of the security update for SQL Server 2008 Service Pack 3 GDR: July 14, 2015";"2015-07-14"
"10.0.5544.0";"TLS 1.2 support for SQL Server 2008 SP3 GDR (IA-64 only)";"2016-01-27"
"10.0.5766.0";"Cumulative update package 1 (CU1) for SQL Server 2008 Service Pack 3";"2011-10-18"
"10.0.5768.0";"Cumulative update package 2 (CU2) for SQL Server 2008 Service Pack 3";"2011-11-22"
"10.0.5770.0";"Cumulative update package 3 (CU3) for SQL Server 2008 Service Pack 3";"2012-01-16"
"10.0.5775.0";"Cumulative update package 4 (CU4) for SQL Server 2008 Service Pack 3";"2012-03-20"
"10.0.5785.0";"Cumulative update package 5 (CU5) for SQL Server 2008 Service Pack 3";"2012-05-19"
"10.0.5788.0";"Cumulative update package 6 (CU6) for SQL Server 2008 Service Pack 3";"2012-07-16"
"10.0.5794.0";"Cumulative update package 7 (CU7) for SQL Server 2008 Service Pack 3";"2012-09-21"
"10.0.5826.0";"Microsoft Security Bulletin MS12-070";"2012-10-09"
"10.0.5828.0";"Cumulative update package 8 (CU8) for SQL Server 2008 Service Pack 3";"2012-11-19"
"10.0.5829.0";"Cumulative update package 9 (CU9) for SQL Server 2008 Service Pack 3";"2013-01-23"
"10.0.5835.0";"Cumulative update package 10 (CU10) for SQL Server 2008 Service Pack 3";"2013-03-18"
"10.0.5840.0";"Cumulative update package 11 (CU11) for SQL Server 2008 Service Pack 3 (replaced)";"2013-05-20"
"10.0.5841.0";"Cumulative update package 11 (CU11) for SQL Server 2008 Service Pack 3 (updated)";"2013-06-13"
"10.0.5844.0";"Cumulative update package 12 (CU12) for SQL Server 2008 Service Pack 3";"2013-07-16"
"10.0.5846.0";"Cumulative update package 13 (CU13) for SQL Server 2008 Service Pack 3";"2013-09-16"
"10.0.5848.0";"Cumulative update package 14 (CU14) for SQL Server 2008 Service Pack 3";"2013-11-18"
"10.0.5850.0";"Cumulative update package 15 (CU15) for SQL Server 2008 Service Pack 3";"2014-01-20"
"10.0.5852.0";"Cumulative update package 16 (CU16) for SQL Server 2008 Service Pack 3";"2014-03-17"
"10.0.5861.0";"Cumulative update package 17 (CU17) for SQL Server 2008 Service Pack 3";"2014-05-19"
"10.0.5867.0";"FIX: Error 8985 when you run the ""dbcc shrinkfile"" statement by using the logical name of a file in SQL Server 2008 R2 or SQL Server 2008";"2014-07-02"
"10.0.5869.0";"MS14-044: Description of the security update for SQL Server 2008 SP3 (QFE)";"2014-08-12"
"10.0.5890.0";"MS15-058: Description of the security update for SQL Server 2008 Service Pack 3 QFE: July 14, 2015";"2015-07-14"
"10.0.5894.0";"TLS 1.2 support for SQL Server 2008 SP3 (IA-64 only)";"2016-01-27"
"10.0.6000.29";"SQL Server 2008 Service Pack 4 (SP4)";"2014-09-30"
"10.0.6241.0";"MS15-058: Description of the security update for SQL Server 2008 Service Pack 4 GDR: July 14, 2015";"2015-07-14"
"10.0.6526.0";"An on-demand hotfix update package is available for SQL Server 2008 Service Pack 4 (SP4)";"2015-02-09"
"10.0.6535.0";"MS15-058: Description of the security update for SQL Server 2008 Service Pack 4 QFE: July 14, 2015";"2015-07-14"
"10.0.6543.0";"TLS 1.2 support for SQL Server 2008 SP4";"2016-01-27"
"10.0.6547.0";"Intermittent service terminations occur after you install any SQL Server 2008 or SQL Server 2008 R2 versions from KB3135244";"2016-03-03"
"10.0.6556.0";"Description of the security update for SQL Server 2008 SP4 GDR: January 6, 2018 – Security Advisory ADV180002";"2018-01-06"
"10.50.1092.20";"Microsoft SQL Server 2008 R2 August Community Technology Preview (CTP)";"2009-06-30"
"10.50.1352.12";"Microsoft SQL Server 2008 R2 November Community Technology Preview (CTP)";"2009-11-12"
"10.50.1600.1";"SQL Server 2008 R2 RTM";"2010-04-21"
"10.50.1617.0";"MS11-049: Description of the security update for SQL Server 2008 R2 GDR: June 14, 2011";"2011-06-14"
"10.50.1702.0";"Cumulative update package 1 (CU1) for SQL Server 2008 R2";"2010-05-18"
"10.50.1720.0";"Cumulative update package 2 (CU2) for SQL Server 2008 R2";"2010-06-25"
"10.50.1734.0";"Cumulative update package 3 (CU3) for SQL Server 2008 R2";"2010-08-20"
"10.50.1746.0";"Cumulative update package 4 (CU4) for SQL Server 2008 R2";"2010-10-18"
"10.50.1753.0";"Cumulative update package 5 (CU5) for SQL Server 2008 R2";"2010-12-23"
"10.50.1765.0";"Cumulative update package 6 (CU6) for SQL Server 2008 R2";"2011-02-21"
"10.50.1769.0";"FIX: Non-yielding scheduler error when you run a query that uses a TVP in SQL Server 2008 or in SQL Server 2008 R2 if SQL Profiler or SQL Server Extended Events is used";"2011-04-18"
"10.50.1777.0";"Cumulative update package 7 (CU7) for SQL Server 2008 R2";"2011-06-16"
"10.50.1790.0";"MS11-049: Description of the security update for SQL Server 2008 R2 QFE: June 14, 2011";"2011-06-17"
"10.50.1797.0";"Cumulative update package 8 (CU8) for SQL Server 2008 R2";"2011-06-20"
"10.50.1800.0";"FIX: Database data files might be incorrectly marked as sparse in SQL Server 2008 R2 or in SQL Server 2008 even when the physical files are marked as not sparse in the file system";"2011-10-18"
"10.50.1804.0";"Cumulative update package 9 (CU9) for SQL Server 2008 R2";"2011-08-16"
"10.50.1807.0";"Cumulative update package 10 (CU10) for SQL Server 2008 R2";"2011-10-19"
"10.50.1809.0";"Cumulative update package 11 (CU11) for SQL Server 2008 R2";"2012-01-09"
"10.50.1810.0";"Cumulative update package 12 (CU12) for SQL Server 2008 R2";"2012-02-21"
"10.50.1815.0";"Cumulative update package 13 (CU13) for SQL Server 2008 R2";"2012-04-17"
"10.50.1817.0";"Cumulative update package 14 (CU14) for SQL Server 2008 R2";"2012-06-18"
"10.50.2500.0";"SQL Server 2008 R2 Service Pack 1 (SP1)";"2011-07-11"
"10.50.2550.0";"Microsoft Security Bulletin MS12-070";"2012-10-09"
"10.50.2769.0";"Cumulative update package 1 (CU1) for SQL Server 2008 R2 Service Pack 1";"2011-07-18"
"10.50.2772.0";"Cumulative update package 2 (CU2) for SQL Server 2008 R2 Service Pack 1";"2011-08-15"
"10.50.2776.0";"FIX: Slow performance when an AFTER trigger runs on a partitioned table in SQL Server 2008 R2";"2011-10-18"
"10.50.2789.0";"Cumulative update package 3 (CU3) for SQL Server 2008 R2 Service Pack 1";"2011-10-17"
"10.50.2796.0";"Cumulative update package 4 (CU4) for SQL Server 2008 R2 Service Pack 1";"2011-12-20"
"10.50.2799.0";"FIX: ""Non-yielding Scheduler"" error might occur when you run a query that uses the CHARINDEX function in SQL Server 2008 R2";"2012-02-22"
"10.50.2806.0";"Cumulative update package 5 (CU5) for SQL Server 2008 R2 Service Pack 1";"2012-02-22"
"10.50.2807.0";"FIX: Access violation when you run DML statements against a table that has partitioned indexes in SQL Server 2008 R2";"2012-03-12"
"10.50.2811.0";"Cumulative update package 6 (CU6) for SQL Server 2008 R2 Service Pack 1";"2012-04-16"
"10.50.2817.0";"Cumulative update package 7 (CU7) for SQL Server 2008 R2 Service Pack 1";"2012-06-18"
"10.50.2822.0";"Cumulative update package 8 (CU8) for SQL Server 2008 R2 Service Pack 1";"2012-08-29"
"10.50.2861.0";"Microsoft Security Bulletin MS12-070";"2012-10-09"
"10.50.2866.0";"Cumulative update package 9 (CU9) for SQL Server 2008 R2 Service Pack 1";"2012-11-06"
"10.50.2868.0";"Cumulative update package 10 (CU10) for SQL Server 2008 R2 Service Pack 1";"2012-12-17"
"10.50.2869.0";"Cumulative update package 11 (CU11) for SQL Server 2008 R2 Service Pack 1";"2013-02-18"
"10.50.2874.0";"Cumulative update package 12 (CU12) for SQL Server 2008 R2 Service Pack 1 (replaced)";"2013-04-15"
"10.50.2875.0";"Cumulative update package 12 (CU12) for SQL Server 2008 R2 Service Pack 1 (updated)";"2013-06-13"
"10.50.2876.0";"Cumulative update package 13 (CU13) for SQL Server 2008 R2 Service Pack 1";"2013-06-17"
"10.50.2881.0";"An on-demand hotfix update package for SQL Server 2008 R2 Service Pack 1";"2013-08-12"
"10.50.3720.0";"SQL Server 2008 R2 Service Pack 2 Community Technology Preview (CTP)";"2012-05-13"
"10.50.4000.0";"SQL Server 2008 R2 Service Pack 2 (SP2)";"2012-07-26"
"10.50.4033.0";"MS14-044: Description of the security update for SQL Server 2008 R2 Service Pack 2 (GDR)";"2014-08-12"
"10.50.4042.0";"MS15-058: Description of the security update for SQL Server 2008 R2 Service Pack 2 GDR: July 14, 2015";"2015-07-14"
"10.50.4046.0";"TLS 1.2 support for SQL Server 2008 R2 SP2 GDR (IA-64 only)";"2016-01-27"
"10.50.4260.0";"Cumulative update package 1 (CU1) for SQL Server 2008 R2 Service Pack 2";"2012-08-01"
"10.50.4263.0";"Cumulative update package 2 (CU2) for SQL Server 2008 R2 Service Pack 2";"2012-08-29"
"10.50.4266.0";"Cumulative update package 3 (CU3) for SQL Server 2008 R2 Service Pack 2";"2012-10-15"
"10.50.4270.0";"Cumulative update package 4 (CU4) for SQL Server 2008 R2 Service Pack 2";"2012-12-17"
"10.50.4276.0";"Cumulative update package 5 (CU5) for SQL Server 2008 R2 Service Pack 2";"2013-02-18"
"10.50.4279.0";"Cumulative update package 6 (CU6) for SQL Server 2008 R2 Service Pack 2 (replaced)";"2013-04-15"
"10.50.4285.0";"Cumulative update package 6 (CU6) for SQL Server 2008 R2 Service Pack 2 (updated)";"2013-06-13"
"10.50.4286.0";"Cumulative update package 7 (CU7) for SQL Server 2008 R2 Service Pack 2";"2013-06-17"
"10.50.4290.0";"Cumulative update package 8 (CU8) for SQL Server 2008 R2 Service Pack 2";"2013-08-30"
"10.50.4295.0";"Cumulative update package 9 (CU9) for SQL Server 2008 R2 Service Pack 2";"2013-10-29"
"10.50.4297.0";"Cumulative update package 10 (CU10) for SQL Server 2008 R2 Service Pack 2";"2013-12-16"
"10.50.4302.0";"Cumulative update package 11 (CU11) for SQL Server 2008 R2 Service Pack 2";"2014-02-18"
"10.50.4305.0";"Cumulative update package 12 (CU12) for SQL Server 2008 R2 Service Pack 2";"2014-04-21"
"10.50.4319.0";"Cumulative update package 13 (CU13) for SQL Server 2008 R2 Service Pack 2";"2014-06-30"
"10.50.4321.0";"MS14-044: Description of the security update for SQL Server 2008 R2 Service Pack 2 (QFE)";"2014-08-12"
"10.50.4331.0";"Restore Log with Standby Mode on an Advanced Format disk may cause a 9004 error in SQL Server 2008 R2 or SQL Server 2012";"2014-08-27"
"10.50.4339.0";"MS15-058: Description of the security update for SQL Server 2008 R2 Service Pack 2 QFE: July 14, 2015";"2015-07-14"
"10.50.4343.0";"TLS 1.2 support for SQL Server 2008 R2 SP2 (IA-64 only)";"2016-01-27"
"10.50.6000.34";"SQL Server 2008 R2 Service Pack 3 (SP3)";"2014-09-26"
"10.50.6220.0";"MS15-058: Description of the security update for SQL Server 2008 R2 Service Pack 3 GDR: July 14, 2015";"2015-07-14"
"10.50.6525.0";"An on-demand hotfix update package is available for SQL Server 2008 R2 Service Pack 3 (SP3)";"2015-02-09"
"10.50.6529.0";"MS15-058: Description of the security update for SQL Server 2008 R2 Service Pack 3 QFE: July 14, 2015";"2015-07-14"
"10.50.6537.0";"TLS 1.2 support for SQL Server 2008 R2 SP3";"2016-01-27"
"10.50.6542.0";"Intermittent service terminations occur after you install any SQL Server 2008 or SQL Server 2008 R2 versions from KB3135244";"2016-03-03"
"10.50.6549.0";"An unknown but existing build";""
"10.50.6560.0";"Description of the security update for SQL Server 2008 R2 SP3 GDR: January 6, 2018 – Security Advisory ADV180002";"2018-01-06"
"11.0.1103.9";"Microsoft SQL Server 2012 (codename Denali) Community Technology Preview 1 (CTP1)";"2010-11-08"
"11.0.1440.19";"Microsoft SQL Server 2012 (codename Denali) Community Technology Preview 3 (CTP3)";"2011-07-11"
"11.0.1750.32";"Microsoft SQL Server 2012 Release Candidate 0 (RC0)";"2011-11-17"
"11.0.1913.37";"Microsoft SQL Server 2012 Release Candidate 1 (RC1)";"2011-12-16"
"11.0.2100.60";"SQL Server 2012 RTM";"2012-03-06"
"11.0.2214.0";"FIX: SSAS uses only 20 cores in SQL Server 2012 Business Intelligence";"2012-04-06"
"11.0.2218.0";"Microsoft Security Bulletin MS12-070";"2012-10-09"
"11.0.2316.0";"Cumulative update package 1 (CU1) for SQL Server 2012";"2012-04-12"
"11.0.2318.0";"SQL Server 2012 Express LocalDB RTM";"2012-04-19"
"11.0.2325.0";"Cumulative update package 2 (CU2) for SQL Server 2012";"2012-06-18"
"11.0.2332.0";"Cumulative update package 3 (CU3) for SQL Server 2012";"2012-08-29"
"11.0.2376.0";"Microsoft Security Bulletin MS12-070";"2012-10-09"
"11.0.2383.0";"Cumulative update package 4 (CU4) for SQL Server 2012";"2012-10-18"
"11.0.2395.0";"Cumulative update package 5 (CU5) for SQL Server 2012";"2012-12-18"
"11.0.2401.0";"Cumulative update package 6 (CU6) for SQL Server 2012";"2013-02-18"
"11.0.2405.0";"Cumulative update package 7 (CU7) for SQL Server 2012";"2013-04-15"
"11.0.2410.0";"Cumulative update package 8 (CU8) for SQL Server 2012";"2013-06-18"
"11.0.2419.0";"Cumulative update package 9 (CU9) for SQL Server 2012";"2013-08-21"
"11.0.2420.0";"Cumulative update package 10 (CU10) for SQL Server 2012";"2013-10-21"
"11.0.2424.0";"Cumulative update package 11 (CU11) for SQL Server 2012";"2013-12-17"
"11.0.2809.24";"SQL Server 2012 Service Pack 1 Customer Technology Preview 3 (CTP3)";"2012-07-05"
"11.0.2845.0";"SQL Server 2012 Service Pack 1 Customer Technology Preview 4 (CTP4)";"2012-09-20"
"11.0.3000.0";"SQL Server 2012 Service Pack 1 (SP1)";"2012-11-06"
"11.0.3128.0";"Windows Installer starts repeatedly after you install SQL Server 2012 SP1";"2013-01-03"
"11.0.3153.0";"MS14-044: Description of the security update for SQL Server 2012 Service Pack 1 (GDR)";"2014-08-12"
"11.0.3156.0";"MS15-058: Description of the security update for SQL Server 2012 SP1 GDR: July 14, 2015";"2015-07-14"
"11.0.3321.0";"Cumulative update package 1 (CU1) for SQL Server 2012 Service Pack 1";"2012-11-20"
"11.0.3335.0";"FIX: Component installation process fails after you install SQL Server 2012 SP1";"2013-01-14"
"11.0.3339.0";"Cumulative update package 2 (CU2) for SQL Server 2012 Service Pack 1";"2013-01-25"
"11.0.3349.0";"Cumulative update package 3 (CU3) for SQL Server 2012 Service Pack 1";"2013-03-18"
"11.0.3350.0";"FIX: You can’t create or open SSIS projects or maintenance plans after you apply Cumulative Update 3 for SQL Server 2012 SP1";"2013-04-17"
"11.0.3368.0";"Cumulative update package 4 (CU4) for SQL Server 2012 Service Pack 1";"2013-05-31"
"11.0.3373.0";"Cumulative update package 5 (CU5) for SQL Server 2012 Service Pack 1";"2013-07-16"
"11.0.3381.0";"Cumulative update package 6 (CU6) for SQL Server 2012 Service Pack 1";"2013-09-16"
"11.0.3393.0";"Cumulative update package 7 (CU7) for SQL Server 2012 Service Pack 1";"2013-11-18"
"11.0.3401.0";"Cumulative update package 8 (CU8) for SQL Server 2012 Service Pack 1";"2014-01-20"
"11.0.3412.0";"Cumulative update package 9 (CU9) for SQL Server 2012 Service Pack 1";"2014-03-18"
"11.0.3431.0";"Cumulative update package 10 (CU10) for SQL Server 2012 Service Pack 1";"2014-05-19"
"11.0.3437.0";"FIX: Data loss in clustered index occurs when you run online build index in SQL Server 2012 (Hotfix for SQL2012 SP1)";"2014-06-10"
"11.0.3449.0";"Cumulative update package 11 (CU11) for SQL Server 2012 Service Pack 1";"2014-07-21"
"11.0.3460.0";"MS14-044: Description of the security update for SQL Server 2012 Service Pack 1 (QFE)";"2014-08-12"
"11.0.3470.0";"Cumulative update package 12 (CU12) for SQL Server 2012 Service Pack 1";"2014-09-15"
"11.0.3482.0";"Cumulative update package 13 (CU13) for SQL Server 2012 Service Pack 1";"2014-11-17"
"11.0.3486.0";"Cumulative update package 14 (CU14) for SQL Server 2012 Service Pack 1";"2015-01-19"
"11.0.3487.0";"Cumulative update package 15 (CU15) for SQL Server 2012 Service Pack 1";"2015-03-16"
"11.0.3492.0";"Cumulative update package 16 (CU16) for SQL Server 2012 Service Pack 1";"2015-05-18"
"11.0.3513.0";"MS15-058: Description of the security update for SQL Server 2012 SP1 QFE: July 14, 2015";"2015-07-14"
"11.0.5058.0";"SQL Server 2012 Service Pack 2 (SP2)";"2014-06-10"
"11.0.5343.0";"MS15-058: Description of the security update for SQL Server 2012 Service Pack 2 GDR: July 14, 2015";"2015-07-14"
"11.0.5352.0";"TLS 1.2 support for SQL Server 2012 SP2 GDR";"2016-01-27"
"11.0.5388.0";"MS16-136: Description of the security update for SQL Server 2012 Service Pack 2 GDR: November 8, 2016";"2016-11-08"
"11.0.5522.0";"FIX: Data loss in clustered index occurs when you run online build index in SQL Server 2012 (Hotfix for SQL2012 SP2)";"2014-06-20"
"11.0.5532.0";"Cumulative update package 1 (CU1) for SQL Server 2012 Service Pack 2";"2014-07-24"
"11.0.5548.0";"Cumulative update package 2 (CU2) for SQL Server 2012 Service Pack 2";"2014-09-15"
"11.0.5556.0";"Cumulative update package 3 (CU3) for SQL Server 2012 Service Pack 2";"2014-11-17"
"11.0.5569.0";"Cumulative update package 4 (CU4) for SQL Server 2012 Service Pack 2";"2015-01-20"
"11.0.5571.0";"FIX: AlwaysOn availability groups are reported as NOT SYNCHRONIZING";"2015-05-15"
"11.0.5582.0";"Cumulative update package 5 (CU5) for SQL Server 2012 Service Pack 2";"2015-03-16"
"11.0.5592.0";"Cumulative update package 6 (CU6) for SQL Server 2012 Service Pack 2";"2015-05-19"
"11.0.5613.0";"MS15-058: Description of the security update for SQL Server 2012 Service Pack 2 QFE: July 14, 2015";"2015-07-14"
"11.0.5623.0";"Cumulative update package 7 (CU7) for SQL Server 2012 Service Pack 2";"2015-07-20"
"11.0.5629.0";"FIX: Access violations when you use the FileTable feature in SQL Server 2012";"2015-08-31"
"11.0.5634.0";"Cumulative update package 8 (CU8) for SQL Server 2012 Service Pack 2";"2015-09-21"
"11.0.5636.3";"FIX: Performance decrease when application with connection pooling frequently connects or disconnects in SQL Server";"2015-09-22"
"11.0.5641.0";"Cumulative update package 9 (CU9) for SQL Server 2012 Service Pack 2";"2015-11-18"
"11.0.5644.0";"Cumulative update package 10 (CU10) for SQL Server 2012 Service Pack 2";"2016-01-20"
"11.0.5646.0";"Cumulative update package 11 (CU11) for SQL Server 2012 Service Pack 2";"2016-03-22"
"11.0.5649.0";"Cumulative update package 12 (CU12) for SQL Server 2012 Service Pack 2";"2016-05-16"
"11.0.5655.0";"Cumulative update package 13 (CU13) for SQL Server 2012 Service Pack 2";"2016-07-19"
"11.0.5657.0";"Cumulative update package 14 (CU14) for SQL Server 2012 Service Pack 2";"2016-09-20"
"11.0.5676.0";"Cumulative update package 15 (CU15) for SQL Server 2012 Service Pack 2";"2016-11-17"
"11.0.5678.0";"Cumulative update package 16 (CU16) for SQL Server 2012 Service Pack 2";"2017-01-18"
"11.0.6020.0";"SQL Server 2012 Service Pack 3 (SP3)";"2015-11-23"
"11.0.6216.27";"TLS 1.2 support for SQL Server 2012 SP3 GDR";"2016-01-27"
"11.0.6248.0";"MS16-136: Description of the security update for SQL Server 2012 Service Pack 3 GDR: November 8, 2016";"2016-11-08"
"11.0.6251.0";"Description of the security update for SQL Server 2012 Service Pack 3 GDR: August 8, 2017";"2017-08-08"
"11.0.6260.1";"Description of the security update for SQL Server 2012 SP3 GDR: January 16, 2018 – Security Advisory ADV180002";"2018-01-16"
"11.0.6518.0";"Cumulative update package 1 (CU1) for SQL Server 2012 Service Pack 3";"2016-01-19"
"11.0.6523.0";"Cumulative update package 2 (CU2) for SQL Server 2012 Service Pack 3";"2016-03-22"
"11.0.6537.0";"Cumulative update package 3 (CU3) for SQL Server 2012 Service Pack 3";"2016-05-17"
"11.0.6540.0";"Cumulative update package 4 (CU4) for SQL Server 2012 Service Pack 3";"2016-07-19"
"11.0.6544.0";"Cumulative update package 5 (CU5) for SQL Server 2012 Service Pack 3";"2016-09-21"
"11.0.6567.0";"Cumulative update package 6 (CU6) for SQL Server 2012 Service Pack 3";"2016-11-17"
"11.0.6579.0";"Cumulative update package 7 (CU7) for SQL Server 2012 Service Pack 3";"2017-01-17"
"11.0.6594.0";"Cumulative update package 8 (CU8) for SQL Server 2012 Service Pack 3";"2017-03-21"
"11.0.6598.0";"Cumulative update package 9 (CU9) for SQL Server 2012 Service Pack 3";"2017-05-15"
"11.0.6607.3";"Cumulative update package 10 (CU10) for SQL Server 2012 Service Pack 3";"2017-08-08"
"11.0.6615.2";"Description of the security update for SQL Server 2012 SP3 CU: January 16, 2018 – Security Advisory ADV180002";"2018-01-16"
"11.0.7001.0";"SQL Server 2012 Service Pack 4 (SP4)";"2017-10-05"
"11.0.7462.6";"Description of the security update for SQL Server 2012 SP4 GDR: January 12, 2018 – Security Advisory ADV180002";"2018-01-12"
"11.0.7469.6";"On-demand hotfix update package for SQL Server 2012 SP4";"2018-03-28"
"11.0.7493.4";"Security update for SQL Server 2012 SP4 GDR: February 11, 2020";"2020-02-11"
"11.0.7507.2";"Security update for SQL Server 2012 SP4 GDR: January 12, 2021";"2021-01-12"
"11.0.9000.5";"Microsoft SQL Server 2012 With Power View For Multidimensional Models Customer Technology Preview (CTP3)";"2012-11-27"
"11.0.9120.0";"Microsoft SQL Server 2014 Community Technology Preview 1 (CTP1)";"2013-06-25"
"12.0.1524.0";"Microsoft SQL Server 2014 Community Technology Preview 2 (CTP2)";"2013-10-15"
"12.0.2000.8";"SQL Server 2014 RTM";"2014-04-01"
"12.0.2254.0";"MS14-044: Description of the security update for SQL Server 2014 (GDR)";"2014-08-12"
"12.0.2269.0";"MS15-058: Description of the security update for SQL Server 2014 GDR: July 14, 2015";"2015-07-14"
"12.0.2271.0";"TLS 1.2 support for SQL Server 2014 RTM";"2016-01-27"
